名称,法人,注册资本,注册时间,电话,souji1,邮箱,统一信用代码,企业类型,行业,注册地址,经营范围,省份,城市,区
南京金科威医疗科技有限公司,李鹏,800万元人民币,2013/11/15,025-87123315,13605176001；025-87123305；,13605176001@139.com,913201180802918472,有限责任公司(自然人投资或控股),研究和试验发展,南京市高淳经济开发区荆山东路25号1幢,一类医疗器械、二类医疗器械、三类医疗器械、净水系统设备及配件研发、生产、销售；电子产品及配件、办公用品、五金制品、日用百货销售；市场调查；企业管理服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：软件开发；计算机系统服务；信息技术咨询服务；计算机软硬件及外围设备制造（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,江苏,南京市,高淳区
昆山鑫水蓝环保设备有限公司,吴启朋,500万元人民币,2016/7/25,13405208670,,2153265481@qq.com,91320583MA1MQCA66J,有限责任公司(自然人独资),批发业,昆山开发区同丰东路988号昆山国际电商产业园F幢A015室,水处理设备、净化设备、离子交换装置、自动化控制系统设备的设计与销售；五金机电、计量仪器、劳保用品、化工产品（不含危险化学品及易制毒化学品）的销售；保洁服务；机电设备上门维修；水处理工程、机电安装工程的设计与施工；货物及技术的进出口业务。（前述经营项目中法律、行政法规规定前置许可经营、限制经营、禁止经营的除外）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,苏州市,昆山市
南通市宏方电器有限公司,卢宗华,5000万元人民币,2008/5/21,0513-88509159,13962722609；0513-88506899；,362356182@qq.com,913206826754804876,有限责任公司(自然人投资或控股),电气机械和器材制造业 ,如皋市搬经镇绘龙路99号,高低压配电柜、箱式变电站、变配电设备制造、销售、租赁、安装、调试；变压器、电线、电缆、高低压开关、分布式光伏发电设备、消防设备的销售、安装、调试；电力工程和建筑工程的设计、技术咨询、技术服务及工程总承包；建筑和环保新材料、新技术的研发；工程勘察、测量。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南通市,如皋市
南京尚锦贸易有限公司,陈翠兰,500万元人民币,2002/11/15,13376089229,025-57061939；13851930909；,845119616@qq.com,913201167423805165,有限责任公司(自然人投资或控股),批发业,南京市江北新区大厂街道新华路556号,预包装食品批发与零售；初级农产品、水果制品、干货、水产品、化工产品、石油制品、建筑材料、金属材料、机电产品、水暖器材、化肥、工业白油、百货、劳保用品、办公用品及设备、变压器油的销售；电工器材加工，销售；室内装潢。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,六合区
徐州非常智能科技有限公司,王标,200万元人民币,2014/5/14,18360291676,17849823398；13395255115；18068229222；0516-88236288；,dongchunyan213848@163.com,91320324301955265K,有限责任公司(自然人独资),研究和试验发展,睢宁县沙集镇杨瓦村王西组107号,智能控制电路板、芯片、软件、机电一体化设备技术开发、销售；电动车的技术开发与销售（三轮车除外）；智能木质家具开发生产与销售。,江苏,徐州市,睢宁县
沛县中航精密机械制造有限公司,朱艳玲,200万元人民币,2017/9/15,13357939898,13812487548；,924787577@QQ.com,91320322MA1R67F00B,有限责任公司(自然人独资),非金属矿物制品业,沛县鹿楼镇八堡工业区,精密机械、耐火陶瓷制品及其他耐火材料、耐热材料、工程机械配件制造、销售，铁合金、炉料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,沛县
昆山允宽商贸有限公司,范文颖,45万美元,2013/6/19,0512-36880766,13162910640；,skye@sellingware.com.cn,91320583069546650K,有限责任公司(台港澳法人独资),批发业,江苏省昆山市花桥镇兆丰路18号5号楼1006室,从事半导体产品及零配件、化工产品及原料（不含危险化学品）、计算机产品及零配件、通讯设备及零配件、机械设备及零配件、办公用品的批发，佣金代理（拍卖除外）及进出口业务，并提供相关配套服务，商务咨询。（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,苏州市,昆山市
南京润天环境科技有限公司,芮后杰,200万元人民币,2016/4/26,13645525888,,,91320117MA1MK0024T,有限责任公司(自然人投资或控股),科技推广和应用服务业,南京市溧水区洪蓝镇工业集中区五峰山路内,生态环境技术、清洁能源技术研发、技术推广、技术咨询；环保工程设计、施工；环保设备研发、生产、销售；机电设备、化工设备安装；市政工程、园林绿化工程、建设工程项目规划、咨询、环境评价；电子产品、化工产品（不含危险化学品）、焦炭、生物质燃料、建筑材料、金属材料、五金交电、环保汽车销售；灯箱、照明装置制作、销售、安装；设计、制作、代理、发布国内各类广告。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,溧水区
徐州林泰新能源有限公司,李晓东,1000万元人民币,2017/3/2,13815366525,13775800005；,13775800005@qq.com,91320321MA1NG8FA6N,有限责任公司(自然人独资),零售业,丰县宋楼镇工业园区,新能源设备研发、生产、销售；芯板、胶合板、人造板、木质家具、木地板、木制品加工销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止的商品及技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,丰县
南京中群物资有限公司,刘卫华,639万元人民币,2001/9/20,13016993183,025-57058194；13327707749；025-57790025；,1317972017@qq.com,913201167305641315,有限责任公司(自然人投资或控股),零售业,南京市六合区大厂街道杨新路312号,钢材、建筑材料、化工产品、五金、水暖器材、机电产品、杂品、百货销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,六合区
南京天麒电梯有限公司,吕剑,500万元人民币,2012/3/7,13913330101,,13913330101@163.com,91320118589426329D,有限责任公司(自然人投资或控股),批发业,南京市高淳县经济开发区恒盛路5号4幢208室,电梯销售、安装、维护服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,高淳区
大丰富恒建材有限公司,魏亚东,2467万元人民币,2006/7/26,13705113019,0515-69968217；0515-87106777；18021890789；,1376617909@qq.com,913209827910872879,有限责任公司(自然人独资),非金属矿物制品业,盐城市大丰区海洋经济综合开发区内,水泥制品、蒸压加气混凝土砌块、商品混凝土制造；建筑材料销售。  （依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,盐城市,大丰区
南京艾崇特信息科技有限公司,谭仲,500万元人民币,2014/8/19,13851505406,025-68855701；025-6855701；,,91320102MA1M9NWL6C,有限责任公司(自然人投资或控股),软件和信息技术服务业,南京市玄武区珠江路342号,计算机软硬件研发、销售及售后服务；电子技术研发；计算机系统集成；办公自动化设备及耗材、自动化监控设备、楼宇智能化设备、通讯产品、家电、办公用品、文体用品、日用百货、服装、鞋帽、初级农产品、劳动防护用品、建筑、装饰材料销售；智能化系统工程、弱电工程、建筑装饰工程设计、施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,玄武区
南京金陵沥青实业有限公司,刘必路,1200万元人民币,2001/6/7,13851990106,025-85315969；025-85313178；,13851990106@163.com,91320111724598634D,有限责任公司(自然人投资或控股),装卸搬运和仓储业,南京市浦口区星甸镇陈桥开发区28号,重油、公路沥青仓储及销售；改性沥青、乳化沥青加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,浦口区
徐州昊贺贸易有限公司,杨昊,200万元人民币,2017/3/7,13913490288,,105468863@qq.com,91320322MA1NH8Y51D,有限责任公司(自然人独资),批发业,沛县德信.九龙城商业A4B幢2单元918室,农、林、牧产品、纺织品、针织品及原料、文化、体育用品及器材、煤炭及制品、非金属矿及制品、金属及金属矿、建材、化工产品（危险化学品除外）、润滑油、压力容器、服装及家庭用品、机械设备、五金产品及电子产品销售，贸易经纪与代理，再生物资回收与批发服务（废旧汽车除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,沛县
靖江市德庆量具有限公司,韩莉,588万元人民币,2002/7/13,0523-84546289,0523-84549518；13961024688；0523-84545598；0523-87288668；,912885685@qq.com,91321282740679186E,有限责任公司(自然人投资或控股),仪器仪表制造业,靖江市季市镇季市北路88号,量具（仅指游标卡尺、带表卡尺、数显卡尺、深度游标卡尺、角尺、刀口直尺）及配件、工具及配件、金属加工机械制造、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,泰州市,靖江市
江苏盛豪医疗设备有限公司,郭大柱,810万元人民币,2004/11/2,0516-80221567,13337948999；0516-83008489；,jsshyl@126.com,9132030076825370X0,有限责任公司(自然人投资或控股),批发业,徐州市庆丰路西绿地世纪城七期办公楼1-803,Ⅱ类、Ⅲ类医疗器械销售（按《医疗器械经营企业许可证》核定范围经营）；Ⅰ类医疗器械、仪器仪表、通讯器材（地面卫星接收设施除外）、钢材、木材、化工产品（危险品除外）、办公设备、计算机及配件销售；医疗技术开发、技术转让、技术服务、技术咨询；自营和代理各类商品及技术的进出口业务（国家限定经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,
南京天伊慧通智能科技有限公司,马海林,200万元人民币,2014/8/12,025-84725131,18118840463；025-84451311；,553913291@qq.com,913201023025992075,有限责任公司(自然人投资或控股),软件和信息技术服务业,南京市玄武区洪武北路121号七层,楼宇智能化系统、自动化控制系统的设计、安装、维护；光纤光缆、通讯设备 、电子产品、计算机软硬件研发、销售；楼宇智能化设备、自动化控制设备销售；系统集成项目设计、研发及相关技术服务；经济信息咨询；网络工程设计、施工、综合布线；线缆研发、销售及相关技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,玄武区
浙江创洁纸业有限公司,丁海平,1000万元人民币,2012/12/4,0573-84731333,18157300866；0573-84731666；,,91330421058338282L,有限责任公司(自然人投资或控股),造纸和纸制品业 ,浙江省嘉善县姚庄镇东方路626号,生产销售：纸巾（纸）。批发零售：厕用纸，特种纸，废纸，木浆；进出口贸易。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,嘉兴市,嘉善县
徐州市科特化玻仪器有限公司,杨知刚,201万元人民币,2002/6/24,13905200260,18052190136；0516-83571720；,13905200260@126.com,91320300739598776T,有限责任公司(自然人投资或控股),批发业,徐州市鼓楼区下淀路170号物资市场33号楼17号,化工产品（涉及危险品的以许可证审核内容为准）、玻璃仪器、试验仪器、五金交电、钢材、建筑材料、仪器仪表销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,鼓楼区
江苏恒汇天康自动化科技有限公司,吴祥熙,1000万元人民币,2017/7/28,13151558128,13956322666；,13151558128@qq.com,91320113MA1Q0F1776,有限责任公司(自然人投资或控股),研究和试验发展,南京市栖霞区八卦洲街道大同生态产业园中企信星双创楼A-626,自动化技术研发；自动化设备、电线电缆、光缆、仪器仪表、仪表设备、自动化控制系统、高低压配电柜、管件阀门、桥架、母线、开关、灯具、建筑材料、五金交电、针纺织品、服装、家具、塑料制品、高低压配电设备、纸制品、印刷器材、电脑耗材、文化用品、办公用品、环保设备、环保材料、电气设备、管道设备、船舶设备及配件、工程机械、花卉苗木、盆景、污水处理设备、检测设备、橡胶制品、水泵、机械设备、电子计算机及配件的销售；设计、制作、代理、发布国内各类广告；标识标牌设计、安装；灯箱销售、安装；自营和代理各类商品及技术的进出口服务；,江苏,南京市,栖霞区
宿迁市神工机械制造有限公司,戴根兴,600万元人民币,2008-6-4,0527-86499996,,13228722999@163.com,913213246763709174,有限责任公司(自然人独资),通用设备制造业,泗洪经济开发区青阳工业园戚黄路西侧,生产、销售：液压车配件、打包机配件、起动工具配件；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,宿迁市,泗洪县
南京江南消毒剂厂有限公司,李秀芳,400万元人民币,2004/12/17,13851539848,025-85474894；025-84192919；,874751624@qq.com,91320115716213714B,有限责任公司(自然人投资或控股),化学原料和化学制品制造业,南京市江宁区汤山街道锁石社区,消毒、杀虫系列产品的研制、生产、销售、咨询、服务、转让（生产限于分支机构经营）；化工原料（不含危险品）、电子产品、假牙除垢剂销售；商务代理（凭许可证经营）；房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,江宁区
徐州晟浩新能源有限公司,魏玉函,300万元人民币,2017/2/8,15996976625,,xzshpv@163.com,91320301MA1NCQ487Y,有限责任公司(自然人独资),专业技术服务业,徐州经济技术开发区杨山路东环办事处706室,分布式光伏电站项目的开发、建设、运营管理及维护；新能源设备的技术研发、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,徐州经济技术开发区
南京荣沛服装有限公司,王华,500万元人民币,2008/2/2,13951663067,025-68020711；025-68872711；,richspint@china.com,91320106671308436J,有限责任公司(自然人独资),批发业,南京市鼓楼区草场门大街101号6层D座,服装、服装面料、针纺织品销售、自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口商品和技术的除外）；服装设计；日用百货的销售；经济信息咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,鼓楼区
徐州赛福电子有限公司,高洪福,1000万元人民币,2009/6/30,15122696796,0516-88343568；18751721890；,88343568@qq.com,91320324692105902B,有限责任公司(自然人独资),电气机械和器材制造业 ,睢宁县经济开发区(江苏星星家电科技有限公司院内),家用电器的线束、弹簧、冷凝器、蒸发器、铜管、网蓝、钢丝蓝杆、合叶胶链；木箱及木制托盘生产销售。（依法须经批准的项目经相关部门批准后方可开展经营活动0,江苏,徐州市,睢宁县
南京乾靖机械科技有限公司,徐光凤,1000万元人民币,2017/5/27,13645162080,17715232783；,1806940835@qq.com,91320115MA1P3D2B60,有限责任公司(自然人投资或控股),研究和试验发展,南京市江宁区禄口街道飞天大道志航路1号(江宁开发区),机床设备技术研发；机床生产、销售、维修；机床机械加工、销售；机床附件销售；金属加工；自营和代理各类商品和技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,江宁区
南京天之骄新型建筑材料有限公司,史关虎,560万元人民币,2002/3/28,025-66130900,13851896333；025-57208700；,138350350@qq.com,913201177331859701,有限责任公司(自然人投资或控股),批发业,南京市溧水区永阳镇私营经济园,节能、防水材料及配套产品、混凝土制品、预拌水泥砂浆生产、销售及相关技术开发、咨询、转让；建筑材料、涂料、装饰材料、电工器材、聚脂薄膜、聚苯板材、泡塑制品、胶粘制品制造、销售；室内外装饰工程技术咨询、施工服务；道路货物运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,溧水区
杭州富阳富林纸业有限公司,董相林,960万元人民币,1999/5/28,13588230303,13906812815；,,91330183716142880W,有限责任公司(自然人投资或控股),造纸和纸制品业 ,浙江省杭州市富阳区春江街道新建村友谊,纸张销售。,浙江,杭州市,富阳区
徐州徐氏建筑工程机械租赁有限公司,徐磊,200万元人民币,2012/10/23,13775959110,13775853190；,2698549781@qq.com,91320324055218920D,有限责任公司(自然人独资),租赁业,睢宁县睢城镇八一西路400号成侯花园A区17号楼1-106,塔吊、施工升降机、挖掘机、钢管支架租赁；起重设备生产、销售；工程机械安装、维修服务；建材（危险品除外）销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,睢宁县
安徽鸿美木业有限公司,徐美平,2000万元人民币,2011-8-3,15995612638,13731996636；0553-5567887；13906265992；,771437620@qq.com,9134020758012069X8,其他有限责任公司,木材加工和木、竹、藤、棕、草制品业,芜湖市鸠江区汤沟镇工业集中区,木制包装物加工、销售，原木收购、加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,安徽,芜湖市,鸠江区
江苏松山照明集团有限公司,胡金松,10058万元人民币,1999/2/4,0514-84212188,13665278188；15195596556；0514-85857299；15665182021；0514-84215188；,levd@qq.com,91321084713281172K,有限责任公司(自然人投资或控股),电气机械和器材制造业 ,高邮市送桥镇工业园区,城市道路照明工程、园林绿化工程、楼宇亮化工程、景观照明工程、建筑智能化工程、市政公用设施工程、市政养护维修工程、公路交通工程、建筑装修装饰工程、电力工程施工总承包、输变电工程、承装（修、试）电力设施业务，室内外照明工程的设计、施工、安装、养护，通信塔研发，照明及亮化器材、路灯杆、高杆灯、太阳能路灯、交通信号灯、LED路灯、LED亮化泛光照明灯具及设备、物联网路灯、智慧路灯、金属灯杆、电力线路杆、通信塔杆、广告牌塔杆、广告灯箱、标志牌杆、市政公用设备、喷泉设备的研发、设计、制造、销售、安装与维修，钢结构制作、安装、雕塑制造、销售，电子配件、电线、电缆销售，照明器材及机电设备的安装调试、相关技术咨询、设计、维修保养、售后服务，合同能源管理，节能工程设计、施工，节能设备安装，自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品及技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,扬州市,高邮市
天长市天一玩具有限公司,朱国海,204万元人民币,2003/3/18,0550-7961789,13956289777；0550-7961488；,TYTOYS999@126.COM,91341181746788308L,有限责任公司(自然人投资或控股),文教、工美、体育和娱乐用品制造业,安徽省天长市郑集镇街道,"工艺玩具加工.制造.销售;经营本企业自产产品及技术的出口业务和本企业所需的机械设备.零配件.原辅材料及技术的进口业务,但国家限定公司经营或禁止进口的商品及技术除外。【依法须经批准的项目，经相关部门批准后方可开展经营活动】",安徽,滁州市,天长市
嘉兴汇琪包装材料有限公司,沈全宝,300万元人民币,2012/5/2,15857947687,15068348940；13819077519；15706705005；0573-84737908；,330655806@qq.com,91330421595767226K,有限责任公司(自然人投资或控股),造纸和纸制品业 ,浙江省嘉兴市嘉善县姚庄镇锦绣大道128号3幢一楼,生产销售：包装材料、纸管、纸桶、一次性纸管拖把及其它纸制品；销售：纸张及纸制品；对外贸易业务；普通货运。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,嘉兴市,嘉善县
南京雄霸工贸有限公司,葛亮,500万元人民币,2003/8/20,17705182088,17351789189；025-85568528；13327880388；025-85569811；025-85567811；,1534246930@qq.com,91320113751281229K,有限责任公司(自然人独资),化学原料和化学制品制造业,南京市栖霞区尧化街道新尧路5-6号,危险化学品销售（按许可证所列项目经营）；五金、建材、汽配销售；仓储。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,栖霞区
